회사명,항목,외인,기관,개인,개반,법인,총점
코아시아,3년,52.3,65.6,33.7,66.3,43.2,61.4
코아시아,합산,41.1,70.9,29.4,70.6,53.0,60.8
KNN,1년,89.4,88.3,8.9,91.1,84.2,89.6
KNN,2년,70.9,64.1,25.9,74.1,67.5,69.7
KNN,3년,79.5,50.0,42.0,58.0,58.6,62.5
KNN,합산,79.9,67.5,25.6,74.4,70.1,73.9
야스,1년,77.5,12.4,9.9,90.1,89.5,60.0
야스,2년,66.7,27.6,22.9,77.1,74.2,57.1
야스,3년,59.0,36.1,29.6,70.4,67.0,55.2
야스,합산,67.7,25.4,20.8,79.2,76.9,57.4
에이치피오,1년,86.2,82.9,5.3,94.7,76.6,87.9
에이치피오,2년,88.3,83.6,7.1,92.9,59.5,88.3
에이치피오,3년,94.6,89.4,8.3,91.7,20.9,91.9
에이치피오,합산,89.7,85.3,6.9,93.1,52.3,89.4
동방,1년,38.8,75.7,51.3,48.7,59.8,54.4
동방,2년,56.2,77.2,35.7,64.3,61.7,65.9
동방,3년,33.1,48.6,63.9,36.1,61.8,39.3
동방,합산,42.7,67.2,50.3,49.7,61.1,53.2
남화산업,1년,87.7,73.6,48.7,51.3,47.3,70.9
남화산업,2년,90.8,88.3,11.3,88.7,38.3,89.3
남화산업,3년,70.3,83.8,28.1,71.9,45.8,75.3
남화산업,합산,82.9,81.9,29.4,70.6,43.8,78.5
디에스케이,1년,90.4,58.0,34.7,65.3,59.1,71.2
디에스케이,2년,63.3,55.8,48.4,51.6,50.4,56.9
디에스케이,3년,31.4,56.5,70.7,29.3,29.4,39.1
디에스케이,합산,61.7,56.8,51.3,48.7,46.3,55.7
위츠,1년,60.0,85.1,38.3,61.7,52.3,68.9
위츠,2년,60.0,85.1,38.3,61.7,52.3,68.9
위츠,3년,60.0,85.1,38.3,61.7,52.3,68.9
위츠,합산,60.0,85.1,38.3,61.7,52.3,68.9
샤페론,1년,62.0,32.9,71.0,29.0,27.1,41.3
샤페론,2년,52.5,78.1,27.5,72.5,67.7,67.7
샤페론,3년,48.0,84.8,19.5,80.5,76.6,71.1
샤페론,합산,54.2,65.3,39.3,60.7,57.1,60.0
아이티센,1년,28.1,93.1,52.3,47.7,12.8,56.3
아이티센,2년,56.6,36.2,70.8,29.2,16.3,40.7
아이티센,3년,62.7,32.6,72.1,27.9,16.7,41.1
아이티센,합산,49.1,54.0,65.1,34.9,15.3,46.0
세운메디칼,1년,65.1,40.2,44.3,55.7,70.2,53.7
세운메디칼,2년,66.3,42.1,45.6,54.4,55.7,54.3
세운메디칼,3년,64.4,30.7,54.7,45.3,40.5,46.8
세운메디칼,합산,65.3,37.7,48.2,51.8,55.5,51.6
나우IB,1년,62.6,51.7,39.4,60.6,38.3,58.3
나우IB,2년,83.1,72.5,21.5,78.5,53.6,78.0
나우IB,3년,51.8,37.2,61.6,38.4,24.1,42.5
나우IB,합산,65.8,53.8,40.8,59.2,38.7,59.6
만호제강,1년,59.8,63.8,30.9,69.1,65.5,64.2
만호제강,2년,91.7,83.9,11.2,88.8,34.3,88.1
만호제강,3년,27.0,42.7,65.8,34.2,70.0,34.6
만호제강,합산,59.5,63.5,36.0,64.0,56.6,62.3
덕성,1년,47.0,71.4,48.3,51.7,27.4,56.7
덕성,2년,40.4,69.2,46.7,53.3,54.0,54.3
덕성,3년,35.1,37.5,78.0,22.0,58.3,31.5
덕성,합산,40.8,59.4,57.7,42.3,46.6,47.5
동성제약,1년,96.7,5.9,53.0,47.0,4.1,49.9
동성제약,2년,88.9,49.6,50.9,49.1,11.0,62.5
동성제약,3년,77.1,58.6,87.6,12.4,4.5,49.4
동성제약,합산,87.6,38.0,63.8,36.2,6.5,53.9
리메드,1년,86.5,87.4,13.9,86.1,62.2,86.7
리메드,2년,70.4,52.1,22.2,77.8,75.6,66.8
리메드,3년,58.6,76.9,22.8,77.2,56.9,70.9
리메드,합산,71.8,72.1,19.6,80.4,64.9,74.8
아주스틸,1년,65.6,54.5,39.7,60.3,49.5,60.1
아주스틸,2년,83.2,88.9,18.5,81.5,18.3,84.5
아주스틸,3년,81.2,91.3,7.3,92.7,31.0,88.4
아주스틸,합산,76.7,78.2,21.8,78.2,32.9,77.7
국제약품,1년,33.4,51.4,63.8,36.2,32.0,40.3
국제약품,2년,51.3,75.8,34.3,65.7,43.6,64.3
국제약품,3년,48.7,71.0,38.3,61.7,43.0,60.5
국제약품,합산,44.5,66.1,45.5,54.5,39.5,55.0
M83,1년,17.6,90.1,27.5,72.5,76.2,60.1
M83,2년,17.6,90.1,27.5,72.5,76.2,60.1
M83,3년,17.6,90.1,27.5,72.5,76.2,60.1
M83,합산,17.6,90.1,27.5,72.5,76.2,60.1
티쓰리,1년,62.2,88.3,18.0,82.0,73.4,77.5
티쓰리,2년,91.4,56.1,20.5,79.5,19.8,75.7
티쓰리,3년,91.7,60.7,18.0,82.0,18.6,78.1
티쓰리,합산,81.8,68.4,18.8,81.2,37.3,77.1
우신시스템,1년,82.0,91.1,9.5,90.5,76.9,87.9
우신시스템,2년,42.6,90.7,7.2,92.8,90.9,75.4
우신시스템,3년,37.4,95.2,3.5,96.5,95.3,76.4
우신시스템,합산,54.0,92.3,6.7,93.3,87.7,79.9
한빛레이저,1년,26.2,87.7,14.0,86.0,18.3,66.6
한빛레이저,2년,27.0,87.6,13.9,86.1,18.0,66.9
한빛레이저,3년,27.0,87.6,13.9,86.1,18.0,66.9
한빛레이저,합산,26.7,87.6,13.9,86.1,18.1,66.8
삼성공조,1년,37.8,37.8,64.8,35.2,62.9,36.9
삼성공조,2년,47.6,42.7,60.1,39.9,47.4,43.4
삼성공조,3년,47.7,33.0,52.7,47.3,61.2,42.7
삼성공조,합산,44.4,37.8,59.2,40.8,57.2,41.0
삼아제약,1년,46.0,41.3,50.1,49.9,67.4,45.7
삼아제약,2년,49.0,32.5,38.8,61.2,75.7,47.6
삼아제약,3년,44.6,42.3,54.5,45.5,58.1,44.1
삼아제약,합산,46.5,38.7,47.8,52.2,67.1,45.8
디와이,1년,94.8,90.1,5.2,94.8,7.0,93.2
디와이,2년,84.8,83.1,12.3,87.7,51.2,85.2
디와이,3년,70.6,68.5,26.5,73.5,65.3,70.9
디와이,합산,83.4,80.6,14.7,85.3,41.2,83.1
케이엔알시스템,1년,13.6,98.1,2.8,97.2,96.3,69.6
케이엔알시스템,2년,13.6,98.1,2.8,97.2,96.3,69.6
케이엔알시스템,3년,13.6,98.1,2.8,97.2,96.3,69.6
케이엔알시스템,합산,13.6,98.1,2.8,97.2,96.3,69.6
싸이토젠,1년,35.7,92.5,6.0,94.0,92.7,74.1
싸이토젠,2년,34.2,96.7,12.4,87.6,55.9,72.8
싸이토젠,3년,58.6,96.1,60.4,39.6,19.0,64.8
싸이토젠,합산,42.8,95.1,26.3,73.7,55.9,70.6
삼익악기,1년,66.6,40.0,50.7,49.3,48.2,52.0
삼익악기,2년,81.7,73.9,54.7,45.3,39.9,67.0
삼익악기,3년,94.2,77.3,58.9,41.1,27.8,70.9
삼익악기,합산,80.8,63.7,54.8,45.2,38.6,63.3
퀀타매트릭스,1년,56.2,15.4,83.5,16.5,17.2,29.4
퀀타매트릭스,2년,57.7,14.8,84.1,15.9,16.4,29.5
퀀타매트릭스,3년,50.3,47.5,74.1,25.9,25.3,41.2
퀀타매트릭스,합산,54.7,25.9,80.6,19.4,19.6,33.4
시지메드텍,1년,47.7,88.2,55.3,44.7,32.5,60.2
시지메드텍,2년,47.7,88.2,55.3,44.7,32.5,60.2
시지메드텍,3년,72.7,54.0,28.3,71.7,63.3,66.1
시지메드텍,합산,56.0,76.8,46.3,53.7,42.8,62.2
동일고무벨트,1년,59.5,64.7,39.8,60.2,48.4,61.5
동일고무벨트,2년,72.8,24.6,63.8,36.2,30.6,44.5
동일고무벨트,3년,67.7,26.7,65.1,34.9,42.1,43.1
동일고무벨트,합산,66.7,38.7,56.2,43.8,40.4,49.7
에어레인,1년,56.7,67.4,68.1,31.9,21.7,52.0
에어레인,2년,56.7,67.4,68.1,31.9,21.7,52.0
에어레인,3년,56.7,67.4,68.1,31.9,21.7,52.0
에어레인,합산,56.7,67.4,68.1,31.9,21.7,52.0
티움바이오,1년,48.0,95.3,3.8,96.2,88.8,79.8
티움바이오,2년,29.9,90.3,10.2,89.8,86.1,70.0
티움바이오,3년,25.2,87.4,13.5,86.5,84.0,66.4
티움바이오,합산,34.4,91.0,9.2,90.8,86.3,72.1
CJ씨푸드,1년,49.3,96.6,14.8,85.2,70.7,77.0
CJ씨푸드,2년,44.9,93.1,22.9,77.1,63.9,71.7
CJ씨푸드,3년,41.2,86.7,32.9,67.1,55.0,65.0
CJ씨푸드,합산,45.1,92.1,23.5,76.5,63.2,71.2
화일약품,1년,54.7,31.6,27.5,72.5,73.3,52.9
화일약품,2년,63.5,17.9,22.4,77.6,84.6,53.0
화일약품,3년,51.7,12.6,17.9,82.1,88.7,48.8
화일약품,합산,56.6,20.7,22.6,77.4,82.2,51.6
인천도시가스,1년,41.8,65.7,37.8,62.2,45.4,56.6
인천도시가스,2년,83.8,63.4,24.0,76.0,65.4,74.4
인천도시가스,3년,77.1,55.8,31.5,68.5,38.9,67.1
인천도시가스,합산,67.6,61.6,31.1,68.9,49.9,66.0
모베이스전자,1년,59.3,76.8,63.2,36.8,31.3,57.6
모베이스전자,2년,54.3,30.9,75.4,24.6,33.7,36.6
모베이스전자,3년,64.4,25.2,76.6,23.4,55.2,37.7
모베이스전자,합산,59.3,44.3,71.7,28.3,40.1,44.0
파세코,1년,52.6,47.1,37.1,62.9,93.3,54.2
파세코,2년,75.1,53.1,20.9,79.1,63.6,69.1
파세코,3년,68.7,33.0,25.0,75.0,79.7,58.9
파세코,합산,65.5,44.4,27.7,72.3,78.9,60.7
HS애드,1년,75.6,58.7,22.2,77.8,76.7,70.7
HS애드,2년,80.1,70.2,23.3,76.7,72.6,75.7
HS애드,3년,89.2,89.3,13.5,86.5,66.5,88.3
HS애드,합산,81.6,72.7,19.7,80.3,71.9,78.2
옵투스제약,1년,56.6,45.4,51.8,48.2,31.1,50.1
옵투스제약,2년,60.4,53.0,46.0,54.0,26.4,55.8
옵투스제약,3년,71.5,54.7,63.2,36.8,25.3,54.3
옵투스제약,합산,62.8,51.0,53.7,46.3,27.6,53.4
티에스아이,1년,70.7,34.1,57.6,42.4,4.4,49.1
티에스아이,2년,79.6,82.7,28.7,71.3,57.8,77.9
티에스아이,3년,60.9,77.0,29.4,70.6,64.3,69.5
티에스아이,합산,70.4,64.6,38.6,61.4,42.2,65.5
대한뉴팜,1년,46.3,57.4,55.8,44.2,39.1,49.3
대한뉴팜,2년,47.1,44.5,49.5,50.5,64.4,47.4
대한뉴팜,3년,57.7,65.6,40.0,60.0,58.0,61.1
대한뉴팜,합산,50.4,55.8,48.4,51.6,53.8,52.6
NI스틸,1년,93.3,92.4,7.3,92.7,23.4,92.8
NI스틸,2년,88.6,87.5,6.9,93.1,57.2,89.7
NI스틸,3년,67.2,82.3,9.9,90.1,64.3,79.9
NI스틸,합산,83.0,87.4,8.0,92.0,48.3,87.5
동양철관,1년,41.5,38.4,64.6,35.4,40.4,38.4
동양철관,2년,54.1,57.0,41.7,58.3,56.8,56.5
동양철관,3년,44.9,65.5,35.5,64.5,57.0,58.3
동양철관,합산,46.8,53.6,47.3,52.7,51.4,51.1
서호전기,1년,48.4,88.1,10.4,89.6,91.7,75.4
서호전기,2년,70.1,83.7,9.8,90.2,83.5,81.3
서호전기,3년,71.0,75.7,23.8,76.2,58.5,74.3
서호전기,합산,63.2,82.5,14.7,85.3,77.9,77.0
인피니트헬스케어,1년,96.6,95.8,28.2,71.8,11.9,88.1
인피니트헬스케어,2년,88.1,92.3,37.5,62.5,11.7,81.0
인피니트헬스케어,3년,51.2,91.3,70.2,29.8,17.2,57.4
인피니트헬스케어,합산,78.6,93.1,45.3,54.7,13.6,75.5
파로스아이바이오,1년,60.3,88.2,13.5,86.5,73.8,78.3
파로스아이바이오,2년,60.1,77.9,25.5,74.5,69.3,70.8
파로스아이바이오,3년,60.1,77.9,25.5,74.5,69.3,70.8
파로스아이바이오,합산,60.2,81.3,21.5,78.5,70.8,73.3
코메론,1년,72.1,75.5,41.1,58.9,35.1,68.8
코메론,2년,69.4,66.8,39.0,61.0,42.0,65.7
코메론,3년,66.9,56.0,48.5,51.5,34.1,58.1
코메론,합산,69.5,66.1,42.9,57.1,37.1,64.2
대원미디어,1년,74.1,95.7,12.3,87.7,12.4,85.8
대원미디어,2년,73.7,70.2,32.8,67.2,19.3,70.4
대원미디어,3년,73.4,49.3,49.7,50.3,15.4,57.7
대원미디어,합산,73.7,71.7,31.6,68.4,15.7,71.3
아진산업,1년,98.2,57.4,6.4,93.6,5.3,83.1
아진산업,2년,58.9,89.0,16.3,83.7,22.6,77.2
아진산업,3년,67.8,90.4,14.5,85.5,18.2,81.2
아진산업,합산,75.0,78.9,12.4,87.6,15.4,80.5
경동도시가스,1년,71.8,30.2,54.4,45.6,12.5,49.2
경동도시가스,2년,89.5,32.5,11.3,88.7,4.3,70.2
경동도시가스,3년,89.0,50.0,11.7,88.3,8.9,75.8
경동도시가스,합산,83.4,37.6,25.8,74.2,8.6,65.1
민테크,1년,19.9,87.9,13.5,86.5,86.1,64.8
민테크,2년,19.9,87.9,13.5,86.5,86.1,64.8
민테크,3년,19.9,87.9,13.5,86.5,86.1,64.8
민테크,합산,19.9,87.9,13.5,86.5,86.1,64.8
한진중공업홀딩스,1년,66.7,88.3,20.5,79.5,69.9,78.2
한진중공업홀딩스,2년,83.0,79.5,29.8,70.2,50.3,77.6
한진중공업홀딩스,3년,82.4,87.9,24.5,75.5,36.1,81.9
한진중공업홀딩스,합산,77.4,85.2,24.9,75.1,52.1,79.2
상신이디피,1년,37.8,90.7,19.9,80.1,83.3,69.5
상신이디피,2년,64.9,86.5,17.5,82.5,27.4,78.0
상신이디피,3년,63.2,77.6,21.0,79.0,38.8,73.3
상신이디피,합산,55.3,84.9,19.5,80.5,49.8,73.6
휴먼테크놀로지,1년,45.8,13.2,88.7,11.3,12.3,23.4
휴먼테크놀로지,2년,32.1,62.7,24.9,75.1,76.9,56.6
휴먼테크놀로지,3년,36.4,61.2,29.1,70.9,72.0,56.2
휴먼테크놀로지,합산,38.1,45.7,47.6,52.4,53.7,45.4
AP헬스케어,1년,57.3,71.4,25.9,74.1,74.4,67.6
AP헬스케어,2년,55.3,74.3,18.0,82.0,78.8,70.5
AP헬스케어,3년,69.8,59.5,25.8,74.2,61.2,67.8
AP헬스케어,합산,60.8,68.4,23.2,76.8,71.5,68.6
엠게임,1년,66.7,72.7,23.0,77.0,61.6,72.1
엠게임,2년,42.2,45.6,74.4,25.6,16.6,37.8
엠게임,3년,29.9,28.6,78.1,21.9,20.3,26.8
엠게임,합산,46.3,49.0,58.5,41.5,32.8,45.6
광전자,1년,85.3,83.4,13.9,86.1,43.0,84.9
광전자,2년,61.9,65.5,37.5,62.5,29.3,63.3
광전자,3년,71.8,66.8,27.2,72.8,30.3,70.5
광전자,합산,73.0,71.9,26.2,73.8,34.2,72.9
유니트론텍,1년,70.1,81.0,31.2,68.8,21.7,73.3
유니트론텍,2년,32.7,35.7,62.9,37.1,78.2,35.2
유니트론텍,3년,52.5,35.8,47.4,52.6,79.2,47.0
유니트론텍,합산,51.8,50.8,47.2,52.8,59.7,51.8
수성웹툰,1년,62.0,84.9,19.2,80.8,71.8,75.9
수성웹툰,2년,14.2,76.2,12.0,88.0,91.2,59.5
수성웹툰,3년,5.7,89.8,2.9,97.1,97.6,64.2
수성웹툰,합산,27.3,83.6,11.4,88.6,86.9,66.5
미래에셋글로벌리츠,1년,47.4,37.1,71.9,28.1,22.4,37.5
미래에셋글로벌리츠,2년,41.3,85.5,14.9,85.1,31.6,70.6
미래에셋글로벌리츠,3년,47.8,93.8,5.6,94.4,20.6,78.7
미래에셋글로벌리츠,합산,45.5,72.1,30.8,69.2,24.9,62.3
리드코프,1년,97.4,11.0,9.5,90.5,5.7,66.3
리드코프,2년,89.8,47.3,9.5,90.5,14.5,75.9
리드코프,3년,95.0,59.1,10.8,89.2,59.9,81.1
리드코프,합산,94.1,39.1,9.9,90.1,26.7,74.4
3S,1년,72.4,85.2,41.8,58.2,19.0,71.9
3S,2년,50.9,49.3,52.6,47.4,28.1,49.2
3S,3년,58.6,47.4,42.7,57.3,39.7,54.4
3S,합산,60.6,60.6,45.7,54.3,28.9,58.5
퓨릿,1년,31.4,79.8,39.0,61.0,64.2,57.4
퓨릿,2년,31.4,76.5,30.2,69.8,47.6,59.2
퓨릿,3년,31.4,76.5,30.2,69.8,47.6,59.2
퓨릿,합산,31.4,77.6,33.1,66.9,53.1,58.6
한국화장품,1년,19.6,68.9,79.5,20.5,59.7,36.3
한국화장품,2년,39.4,52.1,61.3,38.7,42.3,43.4
한국화장품,3년,36.9,46.8,64.0,36.0,38.7,39.9
한국화장품,합산,32.0,55.9,68.3,31.7,46.9,39.9
엠에스씨,1년,53.8,40.3,48.7,51.3,40.8,48.5
엠에스씨,2년,48.8,70.7,36.1,63.9,55.4,61.1
엠에스씨,3년,42.1,68.2,43.4,56.6,49.4,55.6
엠에스씨,합산,48.2,59.7,42.7,57.3,48.5,55.1
동인기연,1년,84.3,51.8,44.8,55.2,15.9,63.8
동인기연,2년,82.4,42.3,56.7,43.3,16.9,56.0
동인기연,3년,82.4,42.3,56.7,43.3,16.9,56.0
동인기연,합산,83.0,45.5,52.7,47.3,16.6,58.6
하이딥,1년,37.6,92.0,11.2,88.8,66.1,72.8
하이딥,2년,39.2,61.0,53.0,47.0,56.5,49.1
하이딥,3년,57.4,73.5,38.4,61.6,63.7,64.2
하이딥,합산,44.7,75.5,34.2,65.8,62.1,62.0
크레오에스지,1년,57.6,54.0,31.9,68.1,69.4,59.9
크레오에스지,2년,51.4,61.4,38.2,61.8,80.2,58.2
크레오에스지,3년,79.6,44.1,18.2,81.8,48.0,68.5
크레오에스지,합산,62.9,53.2,29.4,70.6,65.9,62.2
팅크웨어,1년,94.8,87.9,4.2,95.8,70.6,92.8
팅크웨어,2년,86.2,77.9,17.9,82.1,58.4,82.1
팅크웨어,3년,85.0,58.6,26.6,73.4,46.5,72.3
팅크웨어,합산,88.7,74.8,16.2,83.8,58.5,82.4
삼보모터스,1년,96.0,18.1,7.7,92.3,47.2,68.8
삼보모터스,2년,84.7,73.1,22.5,77.5,20.5,78.4
삼보모터스,3년,81.4,56.3,39.6,60.4,28.4,66.0
삼보모터스,합산,87.4,49.2,23.3,76.7,32.0,71.1
LB루셈,1년,69.8,20.0,40.5,59.5,46.4,49.8
LB루셈,2년,72.8,14.7,40.6,59.4,23.9,49.0
LB루셈,3년,56.8,81.9,36.7,63.3,26.3,67.3
LB루셈,합산,66.5,38.9,39.3,60.7,32.2,55.4
케이엔에스,1년,73.2,81.2,18.1,81.9,71.5,78.8
케이엔에스,2년,56.6,84.9,13.8,86.2,90.4,75.9
케이엔에스,3년,56.6,84.9,13.8,86.2,90.4,75.9
케이엔에스,합산,62.1,83.7,15.2,84.8,84.1,76.9
선광,1년,95.5,34.4,77.7,22.3,9.0,50.7
선광,2년,89.1,99.0,7.2,92.8,21.6,93.6
선광,3년,91.7,97.6,7.6,92.4,16.5,93.9
선광,합산,92.1,77.0,30.8,69.2,15.7,79.4
대성창투,1년,38.1,65.4,41.9,58.1,82.7,53.9
대성창투,2년,61.3,74.4,26.3,73.7,61.5,69.8
대성창투,3년,53.3,84.3,24.9,75.1,44.5,70.9
대성창투,합산,50.9,74.7,31.0,69.0,62.9,64.9
엘티씨,1년,67.4,85.9,24.6,75.4,13.0,76.2
엘티씨,2년,77.2,55.1,27.6,72.4,39.0,68.2
엘티씨,3년,77.9,45.0,42.0,58.0,32.1,60.3
엘티씨,합산,74.2,62.0,31.4,68.6,28.0,68.2
삼기이브이,1년,51.1,88.0,35.9,64.1,77.0,67.7
삼기이브이,2년,93.6,90.8,5.8,94.2,91.6,92.9
삼기이브이,3년,93.6,90.8,5.8,94.2,91.6,92.9
삼기이브이,합산,79.4,89.9,15.8,84.2,86.7,84.5
부방,1년,93.0,73.6,6.9,93.1,14.6,86.6
부방,2년,62.0,52.1,39.4,60.6,36.5,58.2
부방,3년,60.2,55.3,40.2,59.8,40.7,58.4
부방,합산,71.7,60.3,28.8,71.2,30.6,67.7
에이티넘인베스트,1년,68.4,76.5,21.9,78.1,89.8,74.3
에이티넘인베스트,2년,63.5,41.8,32.5,67.5,66.9,57.6
에이티넘인베스트,3년,49.6,20.3,62.6,37.4,76.8,35.8
에이티넘인베스트,합산,60.5,46.2,39.0,61.0,77.8,55.9
라온텍,1년,29.2,98.4,7.2,92.8,8.9,73.5
라온텍,2년,36.8,94.4,26.2,73.8,55.3,68.3
라온텍,3년,36.8,94.4,26.2,73.8,55.3,68.3
라온텍,합산,34.3,95.7,19.9,80.1,39.8,70.0
신스틸,1년,38.2,43.6,61.3,38.7,51.7,40.2
신스틸,2년,81.3,90.3,8.9,91.1,92.5,87.6
신스틸,3년,76.5,91.7,7.8,92.2,92.9,86.8
신스틸,합산,65.3,75.2,26.0,74.0,79.0,71.5
한국특강,1년,91.5,68.7,64.9,35.1,18.7,65.1
한국특강,2년,71.4,66.9,86.2,13.8,7.0,50.7
한국특강,3년,79.4,88.7,35.5,64.5,9.1,77.5
한국특강,합산,80.8,74.8,62.2,37.8,11.6,64.4
조흥,1년,71.1,34.7,56.3,43.7,53.3,49.8
조흥,2년,46.7,87.9,14.9,85.1,29.4,73.2
조흥,3년,50.9,82.4,20.6,79.4,29.7,70.9
조흥,합산,56.2,68.3,30.6,69.4,37.5,64.6
고바이오랩,1년,41.9,89.4,10.4,89.6,91.7,73.6
고바이오랩,2년,35.3,85.1,15.5,84.5,81.7,68.3
고바이오랩,3년,68.7,89.8,9.6,90.4,87.8,83.0
고바이오랩,합산,48.6,88.1,11.8,88.2,87.1,75.0
제이스코홀딩스,1년,69.6,25.9,72.7,27.3,34.6,40.9
제이스코홀딩스,2년,51.6,74.8,12.2,87.8,91.5,71.4
제이스코홀딩스,3년,52.1,73.2,16.8,83.2,86.7,69.5
제이스코홀딩스,합산,57.8,58.0,33.9,66.1,70.9,60.6
하이드로리튬,1년,19.9,73.4,11.2,88.8,89.7,60.7
하이드로리튬,2년,86.9,37.0,8.8,91.2,91.1,71.7
하이드로리튬,3년,63.9,44.9,27.7,72.3,73.4,60.4
하이드로리튬,합산,56.9,51.8,15.9,84.1,84.7,64.3
아모그린텍,1년,74.6,91.5,7.3,92.7,23.7,86.3
아모그린텍,2년,65.1,80.3,17.0,83.0,81.5,76.1
아모그린텍,3년,63.2,79.3,19.3,80.7,76.2,74.4
아모그린텍,합산,67.6,83.7,14.5,85.5,60.5,78.9
신일전자,1년,90.3,95.6,33.6,66.4,24.1,84.1
신일전자,2년,91.9,59.4,17.3,82.7,25.2,78.0
신일전자,3년,82.2,43.1,17.8,82.2,55.3,69.2
신일전자,합산,88.1,66.0,22.9,77.1,34.9,77.1
테라젠이텍스,1년,77.0,72.3,64.0,36.0,20.0,61.8
테라젠이텍스,2년,85.1,72.5,19.7,80.3,52.5,79.3
테라젠이텍스,3년,75.4,62.5,33.2,66.8,44.6,68.2
테라젠이텍스,합산,79.2,69.1,39.0,61.0,39.0,69.8
HS화성,1년,92.7,82.3,28.5,71.5,17.5,82.2
HS화성,2년,80.0,68.6,41.3,58.7,21.9,69.1
HS화성,3년,81.6,92.9,55.8,44.2,15.1,72.9
HS화성,합산,84.8,81.3,41.9,58.1,18.2,74.7
대현,1년,42.7,81.9,16.8,83.2,36.0,69.3
대현,2년,82.7,56.0,33.7,66.3,15.2,68.3
대현,3년,75.0,54.1,38.4,61.6,17.9,63.6
대현,합산,66.8,64.0,29.6,70.4,23.0,67.1
서플러스글로벌,1년,25.6,13.7,81.0,19.0,83.0,19.4
서플러스글로벌,2년,66.6,15.6,69.5,30.5,62.4,37.6
서플러스글로벌,3년,53.9,29.0,67.3,32.7,59.6,38.5
서플러스글로벌,합산,48.7,19.4,72.6,27.4,68.3,31.8
에코플라스틱,1년,51.6,79.1,41.0,59.0,55.2,63.2
에코플라스틱,2년,47.9,75.2,23.6,76.4,71.4,66.5
에코플라스틱,3년,55.8,64.9,23.8,76.2,82.2,65.6
에코플라스틱,합산,51.8,73.1,29.5,70.5,69.6,65.1
베뉴지,1년,77.5,71.7,32.2,67.8,66.2,72.3
베뉴지,2년,76.8,52.9,61.6,38.4,37.7,56.0
베뉴지,3년,76.9,58.5,66.1,33.9,32.8,56.4
베뉴지,합산,77.1,61.0,53.3,46.7,45.6,61.6
세원물산,1년,76.8,14.3,29.0,71.0,23.4,54.0
세원물산,2년,89.2,63.9,11.4,88.6,10.7,80.6
세원물산,3년,89.0,58.1,11.0,89.0,10.7,78.7
세원물산,합산,85.0,45.4,17.1,82.9,14.9,71.1
아남전자,1년,94.7,97.0,66.3,33.7,18.9,75.1
아남전자,2년,63.9,94.6,76.4,23.6,17.6,60.7
아남전자,3년,48.4,91.4,78.9,21.1,20.4,53.6
아남전자,합산,69.0,94.3,73.9,26.1,19.0,63.1
인크레더블버즈,1년,56.7,45.5,70.5,29.5,30.1,43.9
인크레더블버즈,2년,47.7,42.2,84.7,15.3,16.0,35.1
인크레더블버즈,3년,50.3,45.1,74.0,26.0,26.3,40.5
인크레더블버즈,합산,51.6,44.3,76.4,23.6,24.1,39.8
서원인텍,1년,69.1,46.0,31.3,68.7,43.3,61.3
서원인텍,2년,82.8,74.6,17.8,82.2,65.3,79.9
서원인텍,3년,79.0,71.0,20.2,79.8,36.8,76.6
서원인텍,합산,77.0,63.9,23.1,76.9,48.5,72.6
화성밸브,1년,58.0,74.8,27.8,72.2,76.7,68.3
화성밸브,2년,42.7,77.0,22.2,77.8,77.7,65.8
화성밸브,3년,37.3,76.7,29.9,70.1,75.5,61.4
화성밸브,합산,46.0,76.2,26.6,73.4,76.6,65.2
지니언스,1년,36.6,94.0,2.0,98.0,86.4,76.2
지니언스,2년,56.1,76.2,32.7,67.3,61.6,66.5
지니언스,3년,75.3,77.3,21.0,79.0,72.3,77.2
지니언스,합산,56.0,82.5,18.6,81.4,73.4,73.3
크라운제과,1년,62.2,41.6,55.7,44.3,28.9,49.4
크라운제과,2년,60.9,42.3,54.1,45.9,39.5,49.7
크라운제과,3년,44.4,35.7,67.0,33.0,35.0,37.7
크라운제과,합산,55.8,39.9,58.9,41.1,34.5,45.6
중앙에너비스,1년,29.2,62.6,69.6,30.4,64.7,40.7
중앙에너비스,2년,45.1,53.4,52.1,47.9,67.1,48.8
중앙에너비스,3년,53.8,58.6,49.7,50.3,28.9,54.2
중앙에너비스,합산,42.7,58.2,57.1,42.9,53.6,47.9
메타바이오메드,1년,84.1,68.6,18.2,81.8,63.9,78.2
메타바이오메드,2년,90.1,81.7,9.9,90.1,31.9,87.3
메타바이오메드,3년,94.6,89.5,5.8,94.2,22.6,92.8
메타바이오메드,합산,89.6,79.9,11.3,88.7,39.5,86.1
한국선재,1년,80.8,52.1,31.8,68.2,21.3,67.0
한국선재,2년,89.9,16.4,21.6,78.4,17.6,61.6
한국선재,3년,62.3,15.4,71.6,28.4,18.1,35.4
한국선재,합산,77.7,28.0,41.7,58.3,19.0,54.7
공구우먼,1년,32.1,57.5,71.6,28.4,19.2,39.3
공구우먼,2년,76.7,59.9,25.9,74.1,12.3,70.2
공구우먼,3년,62.8,44.0,35.0,65.0,64.6,57.3
공구우먼,합산,57.2,53.8,44.2,55.8,32.0,55.6
APS,1년,71.1,23.7,84.8,15.2,17.1,36.7
APS,2년,64.5,40.1,70.7,29.3,28.9,44.6
APS,3년,46.2,29.4,73.9,26.1,30.1,33.9
APS,합산,60.6,31.1,76.5,23.5,25.4,38.4
